date,company,state,breach,org,records
9/4/2012,Twinspires.com(ChurchillDownsTechnologyInitiativesCompany),KY,HACK,BSF,0.0
9/11/2012,WhatGreatSkin.com(HealingTouchDaySpa,CA,HACK,BSR,0.0
9/11/2012,CarmichaelCompany,CA,PORT,BSF,0.0
9/11/2012,Local2/HospitalityIndustryChild&ElderCarePlan,CA,PORT,MED,0.0
9/17/2012,St.ThereseMedicalGroup,CA,STAT,MED,0.0
9/20/2012,TranscendCapital,TX,HACK,BSF,236.0
10/4/2012,MontereyInstituteofInternationalStudiesMiddleburyCollege,CA,PORT,EDU,0.0
10/8/2012,TDBank,NJ,PORT,BSF,260000.0
10/22/2012,L.A.CareHealthPlan,CA,PHYS,MED,18000.0
10/22/2012,OfficeofDr.PhilipP.Corneliuson,CA,STAT,MED,0.0
10/24/2012,Barnes&Noble,NY,CARD,BSR,0.0
10/29/2012,KaiserPermanente,CA,DISC,MED,0.0
10/30/2012,HSBCBankUSANationalAssociation,NY,INSD,BSF,0.0
11/1/2012,SalinasValleyStatePrison(SVSP),CA,DISC,GOV,0.0
11/7/2012,4AccessNationalProcessingCompany,KY,HACK,BSF,0.0
11/13/2012,Sprechman&AssociatesP.A.,FL,INSD,BSF,0.0
11/16/2012,NationwideMutualInsuranceCompanyandAlliedInsurance,OH,HACK,BSF,1000000.0
11/19/2012,AmericanToolSupply(ATS),GA,HACK,BSR,617.0
11/21/2012,OakRiverInsuranceInstitute,CA,INSD,BSF,2700.0
11/28/2012,AdvancedDataProcessing,NJ,INSD,BSF,15000.0
11/29/2012,WestCoastChildren'sClinic,CA,DISC,MED,0.0
12/5/2012,CaliforniaDepartmentofHealthcareServices,CA,DISC,MED,14000.0
12/7/2012,PinkertonGovernmentServices(PGS),DC,STAT,BSO,0.0
12/10/2012,AccumePartnersWeiserMazars,NJ,PORT,BSF,0.0
12/11/2012,PepperdineUniversity,CA,PORT,EDU,8300.0
12/12/2012,WiltonBrandsLLC.,IL,HACK,BSR,0.0
12/12/2012,Mt.DiabloUnifiedSchoolDistrict,CA,STAT,EDU,0.0
12/13/2012,YoloFederalCreditUnion,CA,CARD,BSF,0.0
12/17/2012,LibrarySystemsandServicesLLC,MD,PORT,BSO,0.0
12/17/2012,WorldTravelHoldings(WTH),MA,HACK,BSO,0.0
12/18/2012,WesternUniversityofHealthSciences,CA,DISC,EDU,0.0
12/20/2012,JetroRestaurantDepot,NY,CARD,BSR,0.0
12/21/2012,SkagitValleyCasinoResortBallyTechnologies,NV,PORT,BSR,0.0
12/24/2012,StateofCaliforniaDepartmentofHealthCareServices(DHCS),CA,DISC,MED,0.0
12/28/2012,EastSanGabrielValleyRegionalOccupationalProgramandTechnicalCenter,CA,DISC,GOV,0.0
12/31/2012,SunviewVineyardsOfCalifornia,CA,PORT,BSR,0.0
1/2/2013,RosenthalCollinsGroup,IL,HACK,BSF,0.0
1/4/2013,ReyesBeverageGroup,IL,DISC,BSR,0.0
1/4/2013,HealingHearts,NC,INSD,MED,0.0
1/7/2013,OfficeofDr.CalvinL.Schuster,CA,STAT,MED,532.0
1/7/2013,CentricGroupLLC,MO,UNKN,BSR,0.0
1/11/2013,EJPhairBrewingCompanyandAlehouse,CA,HACK,BSR,0.0
1/18/2013,StanfordSchoolofMedicineLucilePackardChildren'sHospital,CA,PORT,MED,0.0
1/22/2013,NECA/IBEWFamilyMedicalCarePlan,MD,DISC,MED,0.0
1/26/2013,WiltonBrandsLLCwww.wilton.com,IL,HACK,BSR,0.0
1/28/2013,RRDonnelleyUnitedHealthcareBoyScoutsofAmerica,IL,STAT,MED,8911.0
1/29/2013,NorthLosAngelesCountyRegionalCenter(NLACRC),CA,PORT,MED,0.0
1/29/2013,Stethescope.com,MA,HACK,BSR,0.0
2/1/2013,AntiochUnifiedSchoolDistrict,CA,DISC,EDU,0.0
2/7/2013,THORLO,NC,HACK,BSR,0.0
2/7/2013,Schneider-Electric,IL,DISC,BSO,0.0
2/8/2013,TalkFusion,FL,HACK,BSO,0.0
2/11/2013,CraftsAmericanaGroup,OH,DISC,BSR,0.0
2/22/2013,CrescentHealth,CA,STAT,MED,100000.0
2/25/2013,Mercedes-BenzofWalnutCreek,CA,PHYS,BSR,0.0
2/26/2013,MassachusettsMutualLifeInsuranceCompanyConveyComplianceSystems,MA,DISC,BSF,0.0
2/28/2013,FirstNationalBankofSouthernCalifornia,CA,PORT,BSF,0.0
3/1/2013,FabricDepot,OR,HACK,BSR,0.0
3/4/2013,TDBankN.A.,NJ,PORT,BSF,0.0
3/4/2013,ThePrudentialInsuranceCompanyofAmericaUnisys,NJ,DISC,BSF,0.0
3/11/2013,StanleyBlack&Decker,CT,PORT,BSR,0.0
3/22/2013,UnitedShoreFinancialServicesLLC,MI,HACK,BSF,0.0
3/22/2013,OCSAmerica,NY,HACK,BSF,0.0
3/22/2013,TLOLLC,FL,HACK,BSO,0.0
3/26/2013,TheFinishLine,IN,PORT,BSR,0.0
3/27/2013,Rollins,GA,DISC,BSO,0.0
3/28/2013,Citi,TX,DISC,BSF,0.0
4/1/2013,TennisExpressAmericanExpress,TX,HACK,BSR,0.0
4/2/2013,EllisonSystems,NY,HACK,BSR,0.0
4/3/2013,ComputerSciencesCorporation,NC,PORT,BSO,0.0
4/11/2013,ChapmanUniversity,CA,DISC,EDU,0.0
4/23/2013,OneWestBank,CA,HACK,BSF,0.0
5/3/2013,SchoenbarMiddleSchool,AK,HACK,EDU,0.0
5/7/2013,TomrenWealthManagement,CA,HACK,BSF,0.0
5/10/2013,PHHCorporation,GA,INSD,MED,6700.0
5/10/2013,EquityTrustCompany,OH,HACK,BSF,0.0
5/13/2013,80sTees.com,PA,HACK,BSR,0.0
5/28/2013,Beachbody,CA,HACK,BSR,0.0
5/29/2013,TJG,VA,HACK,BSO,0.0
5/30/2013,AnasaziHotelLLC,NM,HACK,BSO,0.0
5/31/2013,RentPath,GA,INSD,BSO,56000.0
6/5/2013,MassachusettsMutualLifeInsuranceCompanyMassMutualFinancialGroup,MA,DISC,BSF,0.0
6/6/2013,SutterHealthEastBayRegion:AltaBatesSummitMedicalCenterSutterDeltaMedicalCenterEdenMedicalCenter,CA,UNKN,MED,4500.0
6/6/2013,SynerMedInlandValleysIPAInlandEmpireHealthPlan,CA,PORT,MED,1566.0
6/27/2013,MillimakiEggertLLP,CA,PORT,BSF,0.0
6/27/2013,CitiPrepaidServices,NY,DISC,BSF,0.0
7/2/2013,HealthNetCalVivaHealth,GA,DISC,MED,0.0
7/2/2013,QuaysidePublishingGroup,MN,CARD,BSO,0.0
7/3/2013,BureauofAutomotiveRepair(BAR),CA,HACK,GOV,0.0
7/8/2013,Roy'sHoldings,HI,STAT,BSR,0.0
7/18/2013,SanJoseMedicalSupplyCompany,CA,INSD,MED,800.0
7/30/2013,CaliforniaCorrectionalHealthCareServices,CA,PHYS,MED,0.0
7/31/2013,SouthCentralLosAngelesRegionalCenter,CA,PORT,MED,0.0
7/31/2013,FidelityInvestmentsOracle,CA,DISC,BSF,0.0
8/8/2013,M2ComSysCogentHealthcare,TN,DISC,MED,32000.0
8/9/2013,SmartphoneExperts,FL,HACK,BSR,0.0
8/12/2013,,CA,HACK,BSF,0.0
8/16/2013,Exelixis,CA,PORT,BSR,0.0
8/16/2013,CaliforniaDepartmentofCorrectionsandRehabilitationCentinelaStatePrison,CA,DISC,MED,0.0
8/22/2013,UnitedShoreFinancialServicesShoreMortgage,MI,HACK,BSF,0.0
9/6/2013,OfficeofDr.HankyuChung,CA,PORT,MED,2182.0
9/11/2013,FSVPaymentSystemsPaymast'rServices,CO,HACK,BSF,0.0
9/28/2013,UniqueVintage,CA,HACK,BSR,0.0
10/4/2013,BuckeyeCheckCashing,OH,PORT,BSF,0.0
10/10/2013,LegalAidSocietyofSanMateoCounty,CA,PORT,NGO,0.0
10/23/2013,TheFisherman'sRestaurantRadiantSystems,TX,DISC,BSR,0.0
10/25/2013,YusenLogistics(Americas),NJ,PORT,BSO,0.0
10/28/2013,Dun&Bradstreet,GA,HACK,BSO,0.0
11/13/2013,USIInsuranceServicesLLC,OH,HACK,BSF,0.0
11/15/2013,LincolnCreditCenterNationalDebtDefenseSmartPath,CA,UNKN,BSF,0.0
11/20/2013,OfficeofDr.KathleenWhisman,CA,STAT,MED,0.0
12/2/2013,BoardofBarberingandCosmetology,CA,STAT,GOV,0.0
12/6/2013,HorizonHealthcareServices,NJ,PORT,BSF,840000.0
12/6/2013,B&GFoodsNorthAmerica,VT,HACK,BSR,0.0
12/10/2013,OfficeofDr.StephenImrie,CA,PORT,MED,8900.0
12/16/2013,MassachusettsMutualLifeInsuranceCompany,MA,DISC,BSF,0.0
12/18/2013,CITGOPetroleumCorporation,TX,DISC,BSO,0.0
12/20/2013,TechmediaNetwork,UT,HACK,BSO,0.0
12/20/2013,W.J.BradleyMortgageCapitalLLC,CO,INSD,BSF,0.0
12/20/2013,StakerLawTaxandEstatePlanningLaw,CA,PHYS,BSF,0.0
12/22/2013,OfficeofDr.RobMeagliaDDS,CA,STAT,MED,0.0
12/29/2013,AmericanExpressCompany,NY,UNKN,BSF,0.0
12/30/2013,WichcraftOperatingLLC,NY,HACK,BSO,0.0
1/13/2014,UpdateLegal,CA,INSD,BSO,0.0
1/17/2014,Easton-BellSports,CA,HACK,BSR,0.0
1/23/2014,W.JBradley,CO,INSD,BSF,0.0
1/24/2014,Coca-ColaCompany,GA,PORT,BSO,18000.0
1/28/2014,BringItToMe,CA,HACK,BSR,0.0
1/30/2014,UCDavisHealthSystem,CA,HACK,MED,0.0
2/5/2014,St.JosephHealthSystem,GA,HACK,MED,405000.0
2/5/2014,K.MinYiMD,CA,PHYS,MED,4676.0
2/7/2014,EasterSealsofSuperiorCalifornia,GA,PHYS,MED,0.0
2/10/2014,Freeman,TX,DISC,BSF,0.0
2/20/2014,DepartmentofResourcesRecyclingandRecovery,CA,DISC,GOV,0.0
2/21/2014,DiscoverFinancialServices,UT,CARD,BSF,0.0
2/26/2014,TheVariableAnnuityLifeInsuranceCompany,TX,INSD,BSF,774723.0
2/27/2014,L.ACareHealthPlan,CA,DISC,MED,0.0
2/28/2014,80'sTees,PA,HACK,BSR,3503.0
3/1/2014,ManagedMedAPsychologicalOrganization,CA,UNKN,MED,0.0
3/4/2014,EurekaInternalMedicine,CA,PHYS,MED,0.0
3/5/2014,OANDA,NY,HACK,BSF,0.0
3/6/2014,LosAngelesCountyDepartmentofHealth/SutherlandHealthcareSolutions,CA,STAT,MED,168000.0
3/11/2014,CityofHope,CA,STAT,MED,0.0
3/12/2014,UCSFFamilyMedicineCenteratLakeshore,CA,STAT,MED,9986.0
3/13/2014,SilversageAdvisors,CA,PORT,BSF,0.0
3/17/2014,ArcadiaHomeCareandStaffing,MI,INSD,MED,0.0
3/20/2014,MarianRegionalMedicalCenter,CA,DISC,MED,0.0
3/21/2014,CastleCreekProperties,CA,HACK,BSR,0.0
3/21/2014,SanFranciscoDepartmentofPublicHealth/SutherlandHealthcareSolutions,CA,STAT,MED,0.0
3/25/2014,AmericanExpress,NY,HACK,BSF,0.0
3/27/2014,SorensonCommunicationsandCaptionCall,UT,HACK,GOV,0.0
4/2/2014,KaiserPermanenteNorthernCaliforniaDivisionofResearch,CA,HACK,MED,5100.0
4/2/2014,CaliforniaCorrectionalInstitution,CA,PHYS,GOV,0.0
4/3/2014,ColeTaylorMortgage,OR,DISC,BSF,0.0
4/8/2014,StumbleUpon,CA,HACK,BSO,0.0
4/11/2014,VeteransOfForeignWarsOfTheUnitedStates,MO,HACK,NGO,55000.0
4/11/2014,LaCieUSA,OR,HACK,BSR,0.0
4/22/2014,NCOFinancialSystems,PA,DISC,BSF,0.0
4/22/2014,SnellingStaffingLLC,TX,DISC,BSO,0.0
4/30/2014,BoomerangTags.com,CA,HACK,BSR,0.0
5/1/2014,JCMPartnersLLC,GA,HACK,BSO,0.0
5/5/2014,ground(ctrl),CA,HACK,BSO,0.0
5/6/2014,CaliforniaDepartmentofChildSupportServices,CA,PHYS,GOV,0.0
5/7/2014,GingerbreadShedCorporation,AZ,HACK,BSR,0.0
5/14/2014,UniversityCaliforniaIrvine,CA,HACK,EDU,0.0
5/19/2014,Lowe's,NC,DISC,BSR,0.0
5/21/2014,Paytime,PA,HACK,BSO,0.0
5/22/2014,SanDiegoStateUniversity,CA,DISC,EDU,0.0
5/28/2014,SharperFuture,CA,STAT,MED,0.0
6/3/2014,CraftsmanBookCompany,CA,HACK,BSO,0.0
6/4/2014,NationalCreditAdjusters,KS,UNKN,BSF,0.0
6/9/2014,CollegeoftheDesert,CA,INSD,EDU,1900.0
6/10/2014,AT&TMobilityLLC,MO,INSD,BSR,0.0
6/11/2014,StanfordFederalCreditUnion,CA,DISC,BSF,18000.0
6/18/2014,TheMetropolitanCompanies,NY,HACK,BSO,0.0
6/20/2014,UCDCWashingtonCenter,DC,HACK,EDU,0.0
6/20/2014,MountOlympusMortgageCompany,CA,INSD,BSF,0.0
6/24/2014,RiversideCountyRegionalMedicalCenter,CA,PORT,MED,0.0
6/26/2014,SterneAgee&Leach,AL,PORT,BSF,0.0
7/3/2014,BlueShieldofCalifornia/DepartmentofManagedHealthcare,CA,DISC,BSF,18000.0
7/3/2014,WatermarkRetirementCommunities,AZ,PORT,BSO,0.0
7/8/2014,HeartlandAutomotive/JiffyLube,TX,PORT,BSO,0.0
7/8/2014,Aecom,CA,HACK,BSO,0.0
7/15/2014,AtlanticAutomotiveCorporation/dbaOneMileAutomotive,MD,HACK,BSO,0.0
7/15/2014,CityofEncinitas/SanDieguitoWaterDistrict,CA,DISC,GOV,0.0
7/15/2014,BankofTheWest,CA,HACK,BSF,0.0
7/16/2014,BayAreaPainMedicalAssociates,CA,STAT,MED,2780.0
7/28/2014,BackcountryGear,OR,HACK,BSR,0.0
7/29/2014,NorthernTrustCompany,IL,DISC,BSO,0.0
7/30/2014,LaskoGroup,PA,HACK,BSR,0.0
7/31/2014,RecreationalEquipment,WA,HACK,BSR,0.0
8/5/2014,Vibram,MA,HACK,BSR,0.0
8/7/2014,UniversityCaliforniaSantaBarbara,CA,HACK,EDU,0.0
8/7/2014,Anderson&Murison,CA,DISC,BSF,0.0
8/7/2014,SanMateoMedicalCenter,CA,INSD,MED,0.0
8/12/2014,FreedomManagementGroupLLCdbaTheNatural,NY,HACK,BSR,0.0
8/18/2014,MeetMe,PA,HACK,BSO,0.0
8/20/2014,TheUPSStore,GA,HACK,BSR,0.0
8/22/2014,ManagedMed,CA,DISC,MED,0.0
8/26/2014,GeekfaceLLC,CT,HACK,NGO,0.0
8/26/2014,Imhoff&AssociatesPC,CA,PORT,BSO,0.0
8/29/2014,AltaMedHealthServices,CA,INSD,MED,2995.0
9/5/2014,CaliforniaStateUniversityEastBay,CA,HACK,EDU,0.0
9/5/2014,Yandy.com,AZ,HACK,BSR,0.0
9/12/2014,HealthandHumanServicesAgencyNapa,CA,PORT,GOV,0.0
9/15/2014,TimMcCoy&Associates/dba.NEATManagementGroup,TX,PORT,BSF,0.0
9/22/2014,Viator,CA,HACK,BSO,0.0
9/25/2014,PacificBioSciencesofCalifornia,CA,PORT,BSO,0.0
9/26/2014,BayBio,CA,HACK,NGO,0.0
9/29/2014,Albertson'sLLC(ABAcquisitionLLC),WA,HACK,BSR,0.0
10/1/2014,FlinnScientific,IL,HACK,BSR,0.0
10/2/2014,CommunityTechnologyAlliance,CA,PORT,NGO,0.0
10/9/2014,EvolutionNatureCorp.dbaTheEvolutionStore,NY,HACK,BSR,0.0
10/10/2014,SausalitoYachtClub,CA,HACK,BSO,0.0
10/13/2014,UniversityofCaliforniaDavisMedicalCenter,CA,HACK,MED,0.0
10/14/2014,Cyberswim.com,PA,HACK,BSR,0.0
10/17/2014,Sourcebooks,IL,HACK,BSR,0.0
10/23/2014,ReevesInternational,NJ,HACK,BSR,0.0
10/23/2014,AmericanSoccer,CA,HACK,BSR,0.0
11/3/2014,FidelityNationalFinancial,FL,HACK,BSF,0.0
11/3/2014,PalmSpringsFederalCreditUnion,CA,PORT,BSF,0.0
11/14/2014,Reeve-WoodEyeCenter,CA,UNKN,MED,0.0
11/25/2014,StateCompensationInsuranceFund,CA,HACK,GOV,0.0
11/25/2014,GodivaChocolatier,NY,PORT,BSR,0.0
11/26/2014,Shutterfly/TinyPrints/Treats/WeddingDivas,CA,HACK,BSO,0.0
12/1/2014,AmericanResidualsandTalent,CA,HACK,BSO,0.0
12/11/2014,EmcorServicesMesaEnergySystems,CA,PORT,BSO,0.0
12/11/2014,ABMParkingServices,MO,HACK,BSO,0.0
12/12/2014,AcostaSalesandMarketing,FL,PORT,BSO,0.0
12/12/2014,UniversityofCaliforniaBerkeley,CA,HACK,EDU,0.0
12/23/2014,RobKirbyCPA,CA,PORT,BSO,0.0
12/23/2014,PublicArchitecture/theonepercent.org,CA,HACK,BSO,0.0
12/24/2014,CordayProductions,CA,HACK,BSO,0.0
12/24/2014,BoersmaBros.LLC/dbaDutchWear,OR,HACK,BSR,0.0
12/26/2014,PhysiciansSkinandWeightSystems,CA,PORT,MED,0.0
12/31/2014,LaJollaGroup,CA,HACK,BSO,0.0
1/1/2015,SummitFinancialGroup,CA,DISC,BSF,662.0
1/1/2015,UnitedAirlines,IL,HACK,BSO,0.0
1/6/2015,NVIDIACorporation,CA,HACK,BSO,0.0
1/7/2015,Lokai,NY,HACK,BSO,0.0
1/15/2015,OppenheimerFunds,CO,DISC,BSF,0.0
1/16/2015,GrillParts.com,CA,HACK,BSR,0.0
1/23/2015,CaliforniaPacificMedicalCenter/SutterHealth,CA,INSD,MED,844.0
1/30/2015,CICSEmploymentServices,OR,HACK,BSO,0.0
1/30/2015,PhoenixHouseFoundation,NY,HACK,BSO,0.0
2/12/2015,BigFishGames,WA,HACK,BSR,0.0
2/13/2015,LibertyTaxServices,CA,PORT,BSF,0.0
2/20/2015,AmericanApparel,CA,PORT,MED,0.0
3/9/2015,InlandEmpireHealthPlan/Children'sEyewearSight,CA,STAT,MED,0.0
4/2/2015,CaliforniaDepartmentofBusinessOversight,CA,DISC,GOV,0.0
4/2/2015,SRI,VA,HACK,BSO,0.0
4/2/2015,Intuit,CA,UNKN,BSF,0.0
4/6/2015,TulareCountyHealthandHumanServices,CA,DISC,GOV,845.0
4/10/2015,UniversityofCaliforniaRiversideGraduateDivisionoffices,CA,PORT,EDU,0.0
4/10/2015,HSBCFinanceCorporation,FL,DISC,BSF,0.0
4/10/2015,Kellog&AndelsonGlobalManagement,CA,HACK,BSF,0.0
4/13/2015,StanislausSurgicalHospital,CA,UNKN,MED,0.0
4/13/2015,Homebridge(formerlyIn-HomeSupportiveServices),CA,HACK,MED,0.0
4/16/2015,AmericanSleepMedicine,CA,PORT,MED,0.0
4/24/2015,StaterBrothersMarket,CA,HACK,BSO,0.0
6/3/2015,GallantRiskandInsurancesServices,CA,PORT,BSF,0.0
6/3/2015,AeroGrowInternational,CO,HACK,BSO,0.0
6/17/2015,UCIrvineMedicalCenter,CA,INSD,MED,0.0
6/19/2015,Dungarees,OR,HACK,BSR,0.0
6/22/2015,TrustmarkMutualHoldingCompany,IL,DISC,BSF,0.0
6/25/2015,BankofManhattenMortgageLending,NY,DISC,BSF,0.0
6/26/2015,MedicalInformaticsEngineering,IN,HACK,MED,390000.0
7/2/2015,BonitaUnifiedSchoolDistrict,CA,HACK,EDU,0.0
7/6/2015,AutomotiveRecoveryServices,IL,HACK,BSO,0.0
7/8/2015,EvansHotels,CA,HACK,BSO,0.0
7/10/2015,NewHorizonsComputerLearningCenters,TX,HACK,BSO,0.0
7/10/2015,MandarinOriental,NY,HACK,BSO,0.0
7/13/2015,InsuranceServicesOffice(ISO),NJ,HACK,BSF,0.0
7/13/2015,MuleCreekStatePrison,CA,DISC,GOV,0.0
7/17/2015,RichardBergerCPA,CA,PORT,BSF,0.0
7/17/2015,NorthEastMedicalServices,CA,PORT,MED,0.0
7/21/2015,AtkinsonAndelsonLoyaRuud&Romo,CA,PORT,BSO,0.0
7/27/2015,Golden1CreditUnion,CA,INSD,BSF,0.0
7/27/2015,OrangeCountyEmployeesAssociation,CA,HACK,BSO,0.0
7/29/2015,EastBayPerinatalMedicalAssociates,CA,INSD,MED,0.0
8/3/2015,OrlantinoDyocoM.D.,CA,PORT,MED,0.0
8/4/2015,MamaMioUS,CA,HACK,BSO,0.0
8/6/2015,WPTechnology,Ontario,HACK,BSO,0.0
8/7/2015,SterlingBackCheck,NY,PORT,BSO,0.0
8/12/2015,NationstarMortgageLLC,TX,DISC,BSF,0.0
8/14/2015,SterlingMEnterprise(dbaLee'sDeli),CA,HACK,BSO,0.0
8/20/2015,BuyersProtectionGroup,GA,PORT,BSF,0.0
8/21/2015,M&MAutomotiveGroup,CA,PHYS,BSO,0.0
8/26/2015,Dr.RobertE.SoperM.D,CA,PORT,MED,0.0
9/2/2015,WeEndViolenceLLC,CA,HACK,BSO,0.0
9/9/2015,eMinor,NC,HACK,BSO,0.0
9/11/2015,SutterHealth,CA,INSD,MED,0.0
9/11/2015,YapStonePaymentSystems,CA,UNKN,BSF,0.0
9/14/2015,JamesR.GlidwellDentalCeramics,CA,HACK,BSO,0.0
9/17/2015,T-BirdRestaurantGroup,CA,PHYS,BSO,0.0
9/25/2015,SilverbergSurgicalandMedicalGroup,CA,DISC,MED,0.0
10/1/2015,Scottrade,MO,HACK,BSF,4600000.0
10/2/2015,SchwabRetirementPlanServices,CA,DISC,BSF,0.0
10/8/2015,NorthShoreCareSupply,TX,HACK,BSO,0.0
10/8/2015,GlamGlow,CA,HACK,BSO,0.0
10/9/2015,VacavilleHousingAuthority,CA,DISC,GOV,0.0
10/13/2015,ServiceSystemsAssociates,CO,HACK,BSO,60000.0
10/16/2015,CommunityCatalystsofCalifornia,CA,PORT,NGO,1182.0
10/16/2015,ScrippsNetworkLLC.(Food.com),TN,HACK,BSO,0.0
10/16/2015,NextBus,CA,HACK,BSO,0.0
10/22/2015,NobleHouseandResorts,WA,HACK,BSO,0.0
10/28/2015,DigitalTheatreLLC(ShowTix4U),NV,HACK,BSO,0.0
10/29/2015,StilettoSolutions,CA,HACK,BSO,0.0
10/30/2015,AmericanBankersAssociation,DC,HACK,BSO,6400.0
11/2/2015,AccuformSigns,FL,HACK,BSO,0.0
11/4/2015,AvisBudgetGroup,NJ,DISC,BSO,0.0
11/9/2015,CaliforniaDepartmentofMotorVehicles,CA,DISC,GOV,0.0
11/15/2015,FashionFigure(B.Lane,NY,HACK,BSO,0.0
11/18/2015,W.WGrainger,IL,DISC,BSO,0.0
12/1/2015,CottageHealth,CA,DISC,MED,11000.0
12/1/2015,KeenanandAssociates,CA,DISC,BSF,0.0
12/2/2015,HollyA.Nordhues,CA,HACK,BSF,0.0
12/7/2015,MujiUSA,NJ,HACK,BSO,0.0
12/8/2015,GeorgeHillsCompany,CA,DISC,MED,0.0
12/11/2015,TuneCore,NY,HACK,BSO,0.0
12/14/2015,SorrentoPacificFinancialLLC,CA,UNKN,BSF,0.0
12/15/2015,ToyotaFinancialServices,CA,DISC,BSF,0.0
12/18/2015,CBCRestaurantCorporation(CornerBakeryCafe),TX,INSD,BSO,0.0
12/22/2015,Dungarees,MO,HACK,BSR,0.0
12/23/2015,AcclaimTechnicalServices,CA,HACK,BSO,0.0
12/23/2015,MatsonNavigationCompany(HorizonLines),AZ,PORT,BSO,0.0
1/5/2016,WashingtonHospitalHealthcareSystem,CA,HACK,MED,0.0
1/12/2016,RateMyProfessors,NY,HACK,BSO,0.0
1/12/2016,JBAutosports,IA,HACK,BSO,0.0
1/21/2016,KickyPants,WA,HACK,BSO,0.0
1/25/2016,CaliforniaVirtualAcademies,CA,DISC,EDU,0.0
1/25/2016,RealSelf,WA,HACK,BSO,0.0
1/25/2016,HealthEquity,UT,DISC,MED,0.0
1/26/2016,CountyofSanDiego,CA,DISC,GOV,0.0
2/1/2016,IATSELocal134,CA,HACK,BSO,0.0
2/5/2016,Gyft,CA,HACK,BSR,0.0
2/8/2016,BajaBound.com(MexicanInsuranceServices),CA,HACK,BSF,0.0
2/12/2016,BlueCrossBlueShieldofSouthCarolina,SC,DISC,MED,998.0
2/12/2016,MagnoliaHealthCorporation,CA,HACK,MED,0.0
2/26/2016,Bailey's,CA,HACK,BSO,15000.0
3/1/2016,CentralConcreteSupplyCompany,CA,HACK,BSO,0.0
